Programa,Ação,Subação, Orçado (2019), Empenhado (2019),Produto, Previsto, Executado,Justificativa,Comentários,Projeto estratégico
132 - Segurança Alimentar e Nutricional na Perspectiva do Direito e da Assistência Alimentar,2120 - Gestão da Assistência Alimentar à Rede Socioassistencial,1 - Gestão  e Monitoramento da Assistência Alimentar à Rede Social Conveniada,331060,"636080,75",-, -, -,,,
132 - Segurança Alimentar e Nutricional na Perspectiva do Direito e da Assistência Alimentar,2120 - Gestão da Assistência Alimentar à Rede Socioassistencial,2 - Assistência Alimentar às Unidades de Acolhimento Institucional,5247000,"5429530,04",Refeição Servida,6921090,6587079,"Alterações de demanda em relação aos produtos ou serviços ofertados à população. O dimensionamento da meta depende  de fatores externos, como previsão de atendimento pela SUASS e também de adesão dos beneficiários.
",,N
132 - Segurança Alimentar e Nutricional na Perspectiva do Direito e da Assistência Alimentar,2120 - Gestão da Assistência Alimentar à Rede Socioassistencial,3 - Assistência Alimentar aos CRAS,30210,"30030,92",Refeição Servida,30000,37172,"O dimensionamento da meta depende  de fatores externos, como previsão de atendimento pela SUASS e também de adesão dos beneficiários.
",,
132 - Segurança Alimentar e Nutricional na Perspectiva do Direito e da Assistência Alimentar,2120 - Gestão da Assistência Alimentar à Rede Socioassistencial,4 - Assistência Alimentar às Familias em Situações Emergenciais,520000,"374359,42",Família beneficiada,1000,4026,"O dimensionamento da meta depende de fatores externos, como previsão de atendimento pela SUASS e também de adesão dos beneficiários.","- Segundo PBH (2018), trata-se de alimentação para famílias em situação de extrema pobreza (SUASS) ou desabrigadas (Defesa Civil).",S
132 - Segurança Alimentar e Nutricional na Perspectiva do Direito e da Assistência Alimentar,2120 - Gestão da Assistência Alimentar à Rede Socioassistencial,5 - Alimentação para famílias vulneráveis (Covid-19), -, -,Cesta básica concedida, -, -,,,N
132 - Segurança Alimentar e Nutricional na Perspectiva do Direito e da Assistência Alimentar,2307 - Gestão dos Restaurantes e Refeitórios Populares,"1 - Modernização, manutenção e fornecimento de refeições subsidiadas em restaurantes e refeitórios populares",23505100,"24578688,78",Refeição Servida,2850000,2574524,"Restrições Administrativas e/ou Gerenciais: Não ampliação do serviço conforme havíamos previsto a possibilidade à época de criação da meta
",,S
132 - Segurança Alimentar e Nutricional na Perspectiva do Direito e da Assistência Alimentar,2307 - Gestão dos Restaurantes e Refeitórios Populares,3 - Modernização de Restaurantes e refeitórios populares,558000,"102528,66",,25,19,"Restrições Financiamento Externo: Atraso na liberação do recurso de contrato de repasse para aquisição de parte dos equipamentos necessários
",,
132 - Segurança Alimentar e Nutricional na Perspectiva do Direito e da Assistência Alimentar,2307 - Gestão dos Restaurantes e Refeitórios Populares,6 - Construção de Refeitório Popular,400000, -,"Próprio construído, ampliado, reformado ou mantido",1,  -   ,"Restrições Administrativas e/ou Gerenciais: ADEQUAÇÃO/REPROGRAMAÇÃO DO PLANO DE OBRAS.
",- Subação não existente a partir de 2020,N
132 - Segurança Alimentar e Nutricional na Perspectiva do Direito e da Assistência Alimentar,2307 - Gestão dos Restaurantes e Refeitórios Populares,7 - Ações de Enfrentamento ao Covid-19, -, -,-,,,,,N
132 - Segurança Alimentar e Nutricional na Perspectiva do Direito e da Assistência Alimentar,2761 - Gestão da Alimentação Escolar,1 - Alimentação para as Unidades de Ensino Fundamental,8643678,"16531775,86",Refeição Servida,20820200,17037232,"Alterações de demanda em relação aos produtos ou serviços ofertados à população. Apesar do registro de número de alunos matriculados, o dimensionamento da meta depende  da adesão destes beneficiários.
",,
